uf,geocode,regional,regional_geocode,macroregional,macroregional_geocode
MA,2109403,Rosário,21013,Norte,2110
TO,1720200,Bico do Papagaio,17002,Norte,1701
PR,4104501,8ª RS Francisco Beltrão,41008,Oeste,4108
RN,2401107,Mossoró,24002,Macrorregião II,2401
MA,2104008,Pedreiras,21010,Leste,2111
RN,2409704,João Câmara,24003,Macrorregião I,2402
MA,2108603,Pinheiro,21011,Norte,2110
PB,2517407,5ª Região,25005,Campina Grande,2502
MA,2100600,Imperatriz,21008,Sul,2109
PR,4100608,14ª RS Paranavaí,41014,Noroeste,4106
PI,2203420,Cocais,22003,Litoral,2209
MG,3109600,Sete Lagoas,31024,Centro,3103
